project_id,airport_id,airport_name,airport_classification,project_type,purpose,project_component,based_aircraft,annual_operations,total_cost,federal_share_pct,federal_funding_type,project_year,urgency,pci_score,part77_obstructions,clear_zone_status,zoning_status,licensing_status,wysasp_state_goal_met,wysasp_local_goal_met,commission_priority_met,master_plan_status,minimum_standards_on_file,height_zoning_on_file,cip_status,pavement_management_program,system_plan_supported,nprs_score,description
P001,JAC,Jackson Hole Airport,commercial_service,primary_rwy_rsa,safety,airside_primary,200,90000,4500000,90,discretionary,2026,urgent,72,clear,full_protection,adequate,compliant,true,true,true,updated_and_included,true,true,cip_phased_with_priority,true,true,75,Primary runway RSA expansion to meet design standards
P002,LAR,Laramie Regional,business,primary_rwy_rehab,maintenance,airside_primary,85,38000,2200000,90,entitlement,2026,time_sensitive,55,one_clearing_project,active_acquisition_or_czap,establishing_or_updating,compliant,true,true,false,programmed_or_in_process,true,true,cip_in_current,true,true,52,Primary runway rehabilitation - PCI-driven preservation
P003,RKS,Rock Springs Sweetwater County,intermediate_ga,twy_rehab_primary,maintenance,airside_primary,42,12500,1100000,90,entitlement,2026,medium_urgency,48,clear,full_protection,adequate,compliant,true,false,false,updated_and_included,true,true,cip_in_current,true,true,42,Primary taxiway rehabilitation
P004,CYS,Cheyenne Regional,business,primary_rwy_obstruction_removal,safety,airside_primary,60,22000,800000,90,discretionary,2026,urgent,82,obstructions_no_fix,full_protection,adequate,compliant,true,true,true,updated_and_included,true,true,cip_phased_with_priority,true,true,68,Primary runway approach obstruction removal
P005,COD,Yellowstone Regional,business,apron_rehab,maintenance,airside_apron_struct_equip,55,21000,1800000,90,entitlement,2027,medium_urgency,60,clear,full_protection,adequate,compliant,true,false,false,programmed_or_in_process,true,true,cip_in_current,true,true,38,Terminal apron rehabilitation
P006,GCC,Gillette Campbell County,business,infra_arff,safety,airside_primary,45,15000,650000,90,discretionary,2026,urgent,80,clear,full_protection,adequate,compliant,true,true,false,updated_and_included,true,true,cip_phased_with_priority,true,true,65,ARFF vehicle replacement
P007,SHR,Sheridan County,intermediate_ga,primary_rwy_extension,airport_enhancement,airside_primary,38,10000,3500000,90,state_apportionment,2027,low_urgency,75,clear,full_protection,adequate,compliant,true,true,true,updated_and_included,true,true,cip_phased_with_priority,true,true,45,Primary runway extension for larger critical aircraft
P008,WRL,Worland Municipal,local_ga,primary_rwy_maintenance,maintenance,airside_primary,18,5500,420000,90,entitlement,2026,time_sensitive,52,clear,active_acquisition_or_czap,establishing_or_updating,compliant,true,false,false,programmed_or_in_process,true,false,cip_in_current,true,true,32,Crack seal and seal coat - primary runway
P009,RIW,Riverton Regional,intermediate_ga,infra_drainage,maintenance,airside_apron_struct_equip,28,8200,950000,90,entitlement,2027,medium_urgency,58,clear,full_protection,adequate,compliant,false,true,false,updated_and_included,true,true,cip_in_current,true,true,35,Airfield drainage improvements
P010,LND,Hunt Field,local_ga,landside_security_fencing,security,airside_taxilane_landside_other,12,3500,180000,90,state_apportionment,2026,medium_urgency,68,clear,full_protection,adequate,compliant,true,false,false,inadequate_no_update,false,false,cip_in_current,false,true,28,Perimeter security fencing
P011,EVW,Evanston Burns Field,local_ga,twy_partial_parallel,airport_enhancement,airside_primary,15,4200,1600000,90,state_apportionment,2027,low_urgency,72,clear,active_acquisition_or_czap,establishing_or_updating,compliant,false,true,false,programmed_or_in_process,true,false,cip_in_current,true,true,22,Partial parallel taxiway construction
P012,P60,Yellowstone Regional - Cody,intermediate_ga,navaid_papi,safety,airside_primary,32,9500,310000,90,discretionary,2026,urgent,76,clear,full_protection,adequate,compliant,true,true,true,updated_and_included,true,true,cip_phased_with_priority,true,true,58,PAPI installation primary runway
P013,DGW,Douglas Converse County,local_ga,primary_rwy_rehab,maintenance,airside_primary,22,6800,1900000,90,entitlement,2027,time_sensitive,42,one_clearing_project,active_acquisition_or_czap,adequate,compliant,true,false,false,programmed_or_in_process,true,true,cip_in_current,true,true,40,Primary runway rehabilitation
P014,TOR,Torrington Municipal,local_ga,master_plan_update,planning,airside_taxilane_landside_other,19,5100,225000,90,state_apportionment,2027,medium_urgency,65,clear,full_protection,adequate,compliant,false,false,false,inadequate_no_update,true,false,cip_in_current,false,true,18,Master plan update
P015,BPI,Big Piney-Marbleton,local_ga,land_obstruction_removal,safety,airside_primary,8,1900,750000,90,discretionary,2026,urgent,N/A,obstructions_no_fix,partial_no_czap,no_adequate_zoning,partial_compliance,true,true,false,programmed_or_in_process,false,false,cip_in_current,false,true,30,Land acquisition for approach obstruction removal
P016,CPR,Casper-Natrona County,business,terminal_renovation,airport_enhancement,airside_taxilane_landside_other,72,28000,5200000,75,no_federal,2027,low_urgency,N/A,clear,full_protection,adequate,compliant,false,true,false,updated_and_included,true,true,cip_in_current,true,true,15,Terminal renovation - revenue-producing
P017,SAA,Shively Field Saratoga,local_ga,infra_new_fuel,airport_enhancement,airside_taxilane_landside_other,9,2200,380000,0,no_federal,2026,medium_urgency,N/A,clear,active_acquisition_or_czap,establishing_or_updating,compliant,false,false,false,inadequate_no_update,false,false,cip_in_current,false,true,8,New fuel facility - revenue-producing
P018,GEY,South Big Horn County,local_ga,landside_perimeter_fencing,security,airside_taxilane_landside_other,11,3100,140000,90,state_apportionment,2027,low_urgency,N/A,clear,full_protection,adequate,compliant,true,false,false,programmed_or_in_process,true,false,cip_in_current,false,true,25,Wildlife perimeter fencing
P019,PNA,Pinedale Wenz Field,local_ga,primary_rwy_strengthen,airport_enhancement,airside_primary,16,4500,2100000,90,state_apportionment,2028,low_urgency,68,clear,full_protection,adequate,compliant,false,true,false,updated_and_included,true,true,cip_in_current,true,true,28,Runway strengthening for larger critical aircraft
P020,KMC,Mountain View Lyman,local_ga,environmental_assessment,planning,airside_taxilane_landside_other,7,1800,165000,90,entitlement,2026,medium_urgency,N/A,clear,full_protection,adequate,compliant,false,false,false,programmed_or_in_process,false,false,cip_in_current,false,true,12,NEPA environmental assessment for future expansion
P021,IFP,South Eastern Texas,non_npias,land_industrial_commercial,airport_enhancement,airside_taxilane_landside_other,5,1200,520000,0,no_federal,2027,low_urgency,N/A,clear,partial_no_czap,establishing_or_updating,partial_compliance,false,false,false,inadequate_no_update,false,false,cip_in_current,false,false,0,Industrial/commercial land acquisition - non-NPIAS
P022,HEY,Hereford Municipal,local_ga,twy_connector,airport_enhancement,airside_primary,14,3900,1400000,90,state_apportionment,2027,medium_urgency,71,clear,active_acquisition_or_czap,adequate,compliant,false,true,false,updated_and_included,true,true,cip_in_current,true,true,32,Connector taxiway construction
P023,APD,Anniston Regional,intermediate_ga,infra_env_mitigation,maintenance,airside_apron_struct_equip,41,11800,890000,90,discretionary,2026,time_sensitive,N/A,clear,full_protection,adequate,compliant,true,true,false,updated_and_included,true,true,cip_phased_with_priority,true,true,48,Wetland mitigation per environmental finding
P024,SUO,Springer Municipal,local_ga,navaid_awos,safety,airside_primary,10,2800,295000,90,discretionary,2026,urgent,N/A,clear,full_protection,adequate,compliant,true,false,true,programmed_or_in_process,true,false,cip_in_current,false,true,42,AWOS installation
P025,HVR,Havre City-County,intermediate_ga,apron_expand_capacity,airport_enhancement,airside_apron_struct_equip,35,9800,2800000,90,entitlement,2028,low_urgency,72,clear,full_protection,adequate,compliant,false,false,false,programmed_or_in_process,true,true,cip_in_current,true,true,22,Apron expansion for capacity
